Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,TotalEnvSteps,Time,FPS
1,-104.81268371546149,3.88669465804286,-143.3619,-100.11943,18.810111699000586,3.0,74.0,0.05377848815917969,-0.25866508,0.43480492,-7.6251025390625,-15.370253,-0.30733114,7.625101566314697,60.922630310058594,-0.09483623504638672,-35.901588439941406,0.7436313033103943,0.0014186031185090542,80.0,36626,0.9882627725601196,0.0003,-92.45236206054688,6.32569694519043,0.508999994180536,32000,48,222,2,-104.83765652951699,3.4051668917723985,-131.60664,-100.248634,19.079904591532497,4.0,81.0,-1.7361395263671875,-8.217117,8.041563,-5.077431640625,-17.785042,4.725814,5.0774312019348145,40.490089416503906,-0.13662433624267578,-26.859201431274414,0.7403583526611328,0.0025289286859333515,80.0,36626,0.9814048409461975,0.000299,-92.40084838867188,6.30194616317749,0.5073366646451225,643,-103,-13,-105.20251907183726,3.914228898203348,-139.43172,-100.31935,20.338207247298158,3.0,95.0,-6.728115234375,-9.629818,2.3900487,-1.7577237548828124,-9.954488,0.7820348,1.7577238082885742,4.666317462921143,-0.03682756423950195,-3.5551576614379883,0.7370739579200745,0.001972467638552189,80.0,36626,0.9868157505989075,0.000298,-92.28450775146484,6.489447593688965,0.5056733452856872,96004,-1054,-14,-105.95630746110325,4.718303433209433,-149.61678,-100.10107,22.61315417256011,2.0,92.0,-8.5695283203125,-10.36971,-4.966091,-0.5003309326171875,-4.2828317,1.0568599,0.5003309845924377,0.6182488799095154,-0.013200998306274414,-0.34717175364494324,0.7337791919708252,0.0020624855533242226,80.0,36626,0.991818368434906,0.00029699999999999996,-92.01437377929688,6.715122222900391,0.504010011618452,1255,-106.5,-105,-106.66979003139717,4.946536427197185,-135.10031,-100.35712,25.112244897959183,2.0,83.0,-9.08232421875,-10.276019,-7.1391706,-0.08646863555908203,-2.3807411,1.2489235,0.0864686518907547,0.20561392605304718,-0.0076833367347717285,-0.027520084753632545,0.7304735779762268,0.0020663163159042597,80.0,36626,0.9980412721633911,0.000296,-91.64768981933594,7.033414363861084,0.50234666977657466,-10766,-107.86405289727831,6.466419810252283,-147.49606,-100.301865,28.086040386303775,3.0,111.0,-9.26701171875,-10.363986,-7.3781486,0.05195243835449219,-1.957355,1.4161246,-0.051952436566352844,0.1625436544418335,-0.006391569972038269,-0.008552982471883297,0.7271569967269897,0.001811860827729106,80.0,36626,0.9998807311058044,0.00029499999999999996,-91.60374450683594,7.0876359939575195,0.5006833261702077,192000,77,7,-110.32583759418729,8.386585659601542,-156.85683,-100.12707,34.39720129171152,2.0,100.0,-9.1909306640625,-10.594374,-7.5619917,0.10233427429199218,-1.8592157,1.4731973,-0.10233429074287415,0.17957346141338348,-0.007317386567592621,-0.015349301509559155,0.7238293290138245,0.001892730826511979,80.0,36626,1.0009604692459106,0.000294,-90.78878021240234,7.911052227020264,0.4990199874853069,224000,28,-8,-112.869431988,-113.91801921834626,11.829604343391567,-188.097,-100.41635,41.31136950904393,4.0,120.0,-9.13955078125,-10.595966,-7.297346,0.10294287109375,-2.088918,1.202803,-0.10294286906719208,0.17788666486740112,-0.0065690577030181885,-0.01826186291873455,0.720490574836731,0.0016483338549733162,80.0,36626,0.9998223781585693,0.00029299999999999997,-90.5074462890625,8.312793731689453,0.4973566606824231,29,-1159,-118.19,-118.25701923076923,13.360430598196706,-192.42178,-100.84729,49.21230769230769,5.0,134.0,-9.05591796875,-10.473829,-7.072581,0.09874599456787109,-2.5243366,1.3575201,-0.09874598681926727,0.173305481672287,-0.006417416036128998,-0.023087117820978165,0.7171405553817749,0.0016030302504077554,80.0,36626,1.0001097917556763,0.000292,-90.17765045166016,8.691757202148438,0.4956933234410,-118.4110,-121.05610,-121.16252367424242,16.084511686827913,-221.9164,-100.41067,53.80976430976431,2.0,148.0,-8.949921875,-10.387039,-6.9272404,0.0614490966796875,-2.5081868,1.2352052,-0.061449095606803894,0.17477889358997345,-0.006846576929092407,-0.01533507090061903,0.7137795686721802,0.0016560627846047282,80.0,36626,0.9979041814804077,0.00029099999999999997,-89.91897583007812,9.09187126159668,0.49403001303756583,311,-11,-124.0711,-125.295166015625,17.456209161248328,-206.79973,-100.55108,58.8125,4.0,138.0,-8.8841064453125,-10.410487,-6.7454834,0.026184593200683594,-2.6339746,1.2378812,-0.02618459053337574,0.15911483764648438,-0.006676213815808296,-0.013642849400639534,0.7104068398475647,0.001714520389214158,80.0,36626,0.9977210164070129,0.00029,-89.78441619873047,9.341861724853516,0.4923666785278051,352000,475,121212,-128.230979269802,19.495886847240268,-272.21976,-100.7889,63.310891089108914,3.0,221.0,-8.8450107421875,-10.433711,-6.201863,0.02763246726989746,-3.3586435,1.257808,-0.027632465586066246,0.16596059501171112,-0.006911413744091988,-0.012886330485343933,0.707023024559021,0.0016081830253824592,80.0,36626,0.9997320771217346,0.000289,-89.66055297851562,9.621749877929688,0.49070332856195675,384000,52713,-113,-132.64127463552916,21.867169996369167,-238.7173,-100.80096,69.00647948164146,5.0,190.0,-8.804197265625,-10.424558,-5.4259987,0.011463380813598633,-4.5740013,1.4496706,-0.011463380418717861,0.1820858120918274,-0.007219507358968258,-0.013750310055911541,0.7036275267601013,0.001615849556401372,80.0,36626,0.9979255795478821,0.00028799999999999995,-89.60218811035156,9.963346481323242,0.48904000119877045,41600014,-136.414,-137.29896631780662,20.994389061172672,-256.13123,-101.19476,75.43867924528301,8.0,181.0,-8.7175615234375,-10.438426,-4.1008816,0.006200253009796142,-5.6109095,1.1365612,-0.006200254429131746,0.17747721076011658,-0.007629358675330877,-0.014237823896110058,0.7002204656600952,0.0017936971271410584,80.0,36626,0.9975124001502991,0.000287,-89.5638198852539,10.239532470703125,0.487376676267600715,-137.8426456629673,25.950539313359283,-412.20312,-100.83494,74.64953271028037,4.0,183.0,-8.661642578125,-10.478268,-2.107989,0.01177249813079834,-7.905418,1.3361163,-0.01177249662578106,0.22803916037082672,-0.007946209982037544,-0.04962991550564766,0.6968018412590027,0.0017461511306464672,80.0,36626,0.9974749088287354,0.00028599999999999996,-89.43854522705078,10.638529777526855,0.4857133342600456,480000,647,635
16,-138.89986716,-143.84921272493574,28.864928996344513,-298.16226,-102.14663,82.11311053984576,10.0,203.0,-8.575408203125,-10.484887,-0.9264379,0.0655398941040039,-7.668481,1.503907,-0.0655398964881897,0.25000882148742676,-0.010135933756828308,-0.030886881053447723,0.6933715343475342,0.0018756621284410357,80.0,36626,1.0008047819137573,0.000285,-89.58775329589844,10.961640357971191,0.4840500140318596,51217,-147.877917,-149.2521001344086,39.410491343765166,-512.1008,-101.16378,85.95698924731182,4.0,272.0,-8.3340107421875,-10.393383,2.5745962,0.056299781799316405,-11.613534,1.404304,-0.05629977583885193,0.43589329719543457,-0.014306850731372833,-0.1155010387301445,0.6899291276931763,0.0021035955287516117,80.0,36626,1.0013446807861328,0.00028399999999999996,-89.73920440673828,11.571749687194824,0.48238666804773495,54418,-144.851718,-152.25303938356166,56.75437343597046,-746.14655,-101.721466,87.64109589041095,8.0,380.0,-8.0913916015625,-10.1689625,0.858119,0.103562255859375,-8.776235,1.7475231,-0.10356225073337555,0.5457826852798462,-0.016463689506053925,-0.21014073491096497,0.6864750981330872,0.0020267250947654247,80.0,36626,1.0002905130386353,0.000283,-89.95742797851562,12.6342191696167,0.4807233357871192,57619,-151.357719,-150.08226605191257,38.458861350713995,-358.47662,-100.794556,87.39617486338798,10.0,204.0,-8.02710498046875,-9.989318,-3.6406474,0.3040800170898437,-4.106614,1.985405,-0.3040800094604492,0.4016416370868683,-0.013702064752578735,-0.18271325528621674,0.683009147644043,0.0018002046272158623,80.0,36626,1.0075443983078003,0.00028199999999999997,-90.07270050048828,13.00086498260498,0.4790599994846720,-152.397481715420,-149.81680527553763,40.58576268920563,-462.73715,-100.73289,85.97043010752688,6.0,221.0,-7.6164140625,-9.523862,-3.6868644,0.24881752014160155,-4.443646,1.7201446,-0.24881750345230103,0.3329410254955292,-0.012303322553634644,-0.1326618194580078,0.6795309782028198,0.0018132705008611083,80.0,36626,1.005837082862854,0.00028099999999999995,-90.18527221679688,13.380999565124512,0.4773966704854364,6400021,-160.9821,-159.88267933238637,58.2439947645795,-563.3961,-102.443375,90.7784090909091,9.0,240.0,-7.2831591796875,-9.64239,-2.14065,0.12026119995117188,-4.623642,1.9803255,-0.12026119232177734,0.41505733132362366,-0.014452427625656128,-0.13441477715969086,0.6760407090187073,0.0019707304891198874,80.0,36626,1.0006545782089233,0.00028,-90.51647186279297,14.358285903930664,0.4757333320358722,672000,22,-160.22,-151.28952828590786,41.98698017320418,-436.09314,-101.32582,86.70460704607046,4.0,189.0,-7.16411083984375,-9.741803,-3.654739,0.28628045654296874,-3.4024007,2.546876,-0.28628045320510864,0.3294409215450287,-0.012413382530212402,-0.12478246539831161,0.672538161277771,0.0018416524399071932,80.0,36626,1.009222149848938,0.00027899999999999995,-90.64905548095703,14.714529037475586,0.4740699962916369,704000,923,-16723,-160.063232421875,73.82015153552094,-1173.3356,-100.73083,90.72727272727273,10.0,335.0,-6.80282421875,-9.394325,-4.0041833,0.15930068969726563,-7.5423255,2.3936486,-0.15930068492889404,0.42759931087493896,-0.013821840286254883,-0.14403021335601807,0.6690234541893005,0.0019290592754259706,80.0,36626,1.003357172012329,0.000278,-90.96837615966797,16.102155685424805,0.4724066756627696,736000,24,-164.40409640762462,66.24924610869678,-739.8737,-101.97005,93.53372434017595,12.0,267.0,-6.830619140625,-10.1459255,-3.5766299,0.4350474853515625,-4.128703,4.1387134,-0.43504753708839417,0.5365288257598877,-0.015055626630783081,-0.2730633616447449,0.665496289730072,0.0016825300408527255,80.0,36626,1.0114401578903198,0.00027699999999999996,-91.67615509033203,18.26031494140625,0.4707433266952096,768000,998,685
25,-167.69742210682492,74.66013995778685,-838.9808,-100.247116,94.6112759643917,3.0,306.0,-6.3737197265625,-10.136505,-2.3610291,0.3583960876464844,-4.0936365,4.103206,-0.35839608311653137,0.426804780960083,-0.014111608266830444,-0.18949249386787415,0.6619567275047302,0.0017421504016965628,80.0,36626,1.0109472274780273,0.000276,-92.03417205810547,19.16647720336914,0.46907999085743085,800000,1037,812
26,-177.80629036854103,198.2213462966579,-3509.7864,-101.38912,97.17933130699087,5.0,500.0,-5.9998955078125,-9.974325,-3.5102723,0.2351686248779297,-13.637528,4.1258144,-0.23516863584518433,1.080909252166748,-0.023833811283111572,-0.23829646408557892,0.6584042906761169,0.025568976998329163,80.0,36626,1.0022797584533691,0.00027499999999999996,-92.68716430664062,26.043699264526367,0.46741665375073926,832000,1076,827
27,-165.9392941497093,83.00889995012723,-949.0006,-100.89553,93.01162790697674,5.0,342.0,-5.68893359375,-11.04917,-2.5830426,0.6105646362304687,-2.4932933,6.710607,-0.6105645895004272,0.6837028861045837,-0.017423808574676514,-0.4428848624229431,0.6548393964767456,0.0015551709802821279,80.0,36626,1.0157480239868164,0.000274,-93.006103515625,26.594539642333984,0.4657533293823154,864000,1113,850
28,-166.10514894005848,70.57450648011844,-639.19794,-100.968216,93.3391812865497,3.0,231.0,-5.00344091796875,-10.08014,-2.440232,0.43983154296875,-2.978265,6.1572,-0.43983158469200134,0.3728443682193756,-0.012024849653244019,-0.222162127494812,0.6512617468833923,0.0014677486615255475,80.0,36626,1.0148564577102661,0.00027299999999999997,-93.26605987548828,26.789413452148438,0.46409000434407544,896000,1151,846
29,-168.21530529538904,104.92099058400889,-1691.0432,-100.78945,92.20172910662824,6.0,384.0,-4.5563193359375,-10.58586,-1.7387654,0.29399383544921875,-5.9143267,6.217511,-0.2939937710762024,0.3104473650455475,-0.01008749008178711,-0.13002508878707886,0.6476711630821228,0.0015192527789622545,80.0,36626,1.0096080303192139,0.00027199999999999994,-93.6204833984375,28.00328254699707,0.46242666586954706,928000,1191,813
30,-167.23673478739002,80.38623315554982,-863.8992,-101.75641,93.69501466275659,9.0,360.0,-4.236962890625,-10.569096,-1.6310124,0.253443359375,-2.0648522,6.625761,-0.25344333052635193,0.18549245595932007,-0.007971704006195068,-0.08475463092327118,0.6440678238868713,0.0014069312019273639,80.0,36626,1.0105825662612915,0.000271,-93.8625259399414,28.26131248474121,0.46076332929586983,960000,1228,861
31,-164.50203080610797,80.25445151912986,-871.4496,-101.8588,90.7528409090909,7.0,366.0,-3.9469990234375,-9.327148,-2.0315838,0.17108338928222655,-2.2162497,5.209836,-0.17108337581157684,0.15053074061870575,-0.007405757904052734,-0.05717388167977333,0.6404513716697693,0.0014256528811529279,80.0,36626,1.0076779127120972,0.00027,-94.09977722167969,28.458633422851562,0.4591000102019319,992000,1262,924
32,-153.66970016891892,51.25449222236987,-514.4046,-101.330734,86.45675675675676,10.0,259.0,-3.688824462890625,-8.614993,-1.8005387,0.14694993591308594,-1.7747737,3.823035,-0.14694994688034058,0.09533179551362991,-0.004974037408828735,-0.03523935750126839,0.6368216872215271,0.0013146548299118876,80.0,36626,1.0069756507873535,0.000269,-94.13137817382812,28.26753044128418,0.45743666987598686,1024000,1300,857
