Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,TotalEnvSteps,Time,FPS
1,-108.41239573543233,5.486833688587781,-145.81737,-100.77942,30.075187969924812,11.0,76.0,0.0009151608943939209,-0.84601223,0.59997666,-7.2573125,-16.321505,-1.4741884,7.257312297821045,56.485530853271484,-0.09474945068359375,-35.72682571411133,0.7436313033103943,0.0015033598756417632,80.0,61702,0.9869111180305481,0.0003,-90.30213165283203,6.934974193572998,0.508999994180536,32000,26,1187
2,-108.63415739845261,5.504910499409038,-146.9178,-100.90355,30.938104448742745,11.0,94.0,-1.836945068359375,-8.162763,7.723525,-4.0771181640625,-17.164394,4.915726,4.077118396759033,26.441417694091797,-0.1075754165649414,-18.247211456298828,0.740358293056488,0.002402984071522951,80.0,61702,0.9825831651687622,0.000299,-90.11663055419922,7.169124126434326,0.5073366646451225,64000,54,1176
3,-108.9754642323031,6.058456975355466,-149.32195,-100.861755,31.903290129611168,12.0,77.0,-6.078431640625,-9.870287,3.3331225,-1.843260009765625,-10.769838,1.0738425,1.8432600498199463,4.857891082763672,-0.03962433338165283,-3.8288700580596924,0.7370739579200745,0.0019118227064609528,80.0,61702,0.984427809715271,0.000298,-90.00181579589844,7.233757972717285,0.5056733452856872,96000,81,1193
4,-109.83381435774947,6.978963261921692,-174.99467,-100.838135,33.9447983014862,12.0,84.0,-7.882720703125,-10.682891,-2.3599613,-0.7733360595703125,-7.1450796,1.0659649,0.7733360528945923,1.1123623847961426,-0.015218496322631836,-0.8057777881622314,0.73377925157547,0.0017736094305291772,80.0,61702,0.990950882434845,0.00029699999999999996,-89.82498168945312,7.476254940032959,0.504010011618452,128000,108,1185
5,-110.37422987404162,7.221451491988993,-172.894,-101.0472,35.02847754654984,14.0,125.0,-8.62284375,-10.894898,-5.3438215,-0.29880364990234376,-3.86837,0.9077005,0.2988036274909973,0.3135657012462616,-0.007197082042694092,-0.16266602277755737,0.7304736375808716,0.0015879821730777621,80.0,61702,0.9950007200241089,0.000296,-89.68659210205078,7.62397575378418,0.5023466697765746,160000,135,1183
6,-110.91569829805492,7.486510561604519,-152.17061,-101.18509,36.58237986270023,13.0,92.0,-8.9007294921875,-10.600997,-6.9619217,-0.08979493713378907,-1.8589681,1.1204113,0.08979492634534836,0.14366285502910614,-0.00433841347694397,-0.028364524245262146,0.7271569967269897,0.001290988875553012,80.0,61702,0.9978102445602417,0.00029499999999999996,-89.5302505493164,7.782922267913818,0.5006833261702077,192000,162,1188
7,-111.98094830154946,8.644295161170323,-192.5743,-101.431984,38.091775923718714,14.0,105.0,-9.00022265625,-10.605226,-7.2289853,-0.02680084228515625,-2.7710147,1.1324165,0.026800841093063354,0.11985775828361511,-0.004257196560502052,-0.00918217096477747,0.7238293290138245,0.001315449713729322,80.0,61702,0.9985126852989197,0.000294,-89.42489624023438,7.937136650085449,0.4990199874853069,224000,189,1185
8,-112.0847703313253,8.543001169138607,-162.45467,-101.026985,38.55180722891566,13.0,92.0,-9.03424609375,-10.675777,-7.267104,0.0076424660682678225,-1.5128231,1.0639846,-0.00764246704056859,0.11690233647823334,-0.004258789587765932,-0.0034948221873492002,0.720490574836731,0.001358059816993773,80.0,61702,0.997822105884552,0.00029299999999999997,-89.34432983398438,8.017936706542969,0.4973566606824231,256000,215,1192
9,-113.62703804347827,9.28963994155542,-153.3403,-101.47353,42.13702239789196,12.0,99.0,-9.031478515625,-10.5399475,-7.307297,0.04662233734130859,-1.7440443,1.2012255,-0.04662233218550682,0.11345816403627396,-0.004482422024011612,-0.006820875685662031,0.7171405553817749,0.0014551851199939847,80.0,61702,1.0003327131271362,0.000292,-89.2089614868164,8.171714782714844,0.4956933234498547,288000,242,1188
10,-115.08732982673267,10.38714014247726,-178.1167,-101.22572,45.22913719943423,14.0,126.0,-8.98976953125,-10.553498,-7.062992,0.05003924560546875,-1.6623493,1.1200659,-0.05003924295306206,0.1202579066157341,-0.005135927349328995,-0.007000209763646126,0.7137795686721802,0.001605677418410778,80.0,61702,0.998699963092804,0.00029099999999999997,-89.0582275390625,8.359062194824219,0.49403001303756583,320000,269,1188
