Epoch,EpRet/Mean,EpRet/Std,EpRet/Min,EpRet/Max,EpLen/Mean,EpLen/Min,EpLen/Max,Values/V/Mean,Values/V/Min,Values/V/Max,Values/Adv/Mean,Values/Adv/Min,Values/Adv/Max,Loss/Pi,Loss/Value,Loss/DeltaPi,Loss/DeltaValue,Entropy,KL,Misc/StopIter,Misc/Seed,PolicyRatio,LR,Misc/RewScaleMean,Misc/RewScaleStddev,Misc/ExplorationNoiseStd,TotalEnvSteps,Time,FPS
1,-144.86347903481013,16.98949379838365,-254.20786,-103.182945,81.0126582278481,26.0,152.0,0.06948309326171875,-0.33061346,0.47684667,-10.1758154296875,-35.419987,-1.6816912,10.17581558227539,123.71212768554688,-0.19954204559326172,-58.44699478149414,0.7436313033103943,0.0017933412455022335,80.0,40226,0.9816216230392456,0.0003,-91.26477813720703,13.007721900939941,0.508999994180536,32000,203,157
2,-145.33191074871465,15.632732020069655,-239.78874,-118.234856,82.25192802056556,49.0,150.0,-1.32641015625,-8.414604,8.301727,-2.068841796875,-16.020105,7.491324,2.0688416957855225,13.16854190826416,-0.06757426261901855,-8.610177993774414,0.740358293056488,0.002299562795087695,80.0,40226,0.990088939666748,0.000299,-91.12491607666016,12.888325691223145,0.5073366646451225,64000,403,160
3,-144.06705729166666,18.626766745571796,-307.0142,-112.33721,80.66919191919192,33.0,158.0,-3.01338720703125,-8.245376,6.7490215,-1.5746461181640625,-12.257921,2.4176302,1.574646234512329,4.375828266143799,-0.03200662136077881,-3.2298409938812256,0.7370739579200745,0.0018063639290630817,80.0,40226,0.9875388145446777,0.000298,-91.07470703125,13.18320083618164,0.5056733452856872,96000,602,160
4,-148.3568189313984,28.312860573926965,-556.3775,-115.80039,84.18997361477572,50.0,222.0,-4.4903720703125,-8.439086,3.6563396,-0.9954196166992187,-7.307995,1.4165479,0.9954196214675903,1.743569254875183,-0.01747184991836548,-1.3135156631469727,0.73377925157547,0.0014940149849280715,80.0,40226,0.9898722171783447,0.00029699999999999996,-91.32627868652344,14.404423713684082,0.504010011618452,128000,806,157
5,-148.2803981050532,22.37576981470206,-308.0552,-115.60056,84.9627659574468,39.0,175.0,-5.52109033203125,-8.607738,1.3671887,-0.416068359375,-4.1924186,1.5631075,0.4160683751106262,0.6384453773498535,-0.009508639574050903,-0.41577330231666565,0.7304736375808716,0.0013726168544963002,80.0,40226,0.9954702258110046,0.000296,-91.36634063720703,14.518270492553711,0.5023466697765746,160000,1004,161
6,-153.3490757342896,31.44252715131534,-437.48358,-112.286354,87.32513661202186,42.0,211.0,-5.8355810546875,-8.447076,-1.1667104,-0.26142068481445313,-3.8099852,1.466785,0.26142069697380066,0.349105566740036,-0.007188767194747925,-0.16775308549404144,0.7271569967269897,0.0012949459487572312,80.0,40226,0.9961672425270081,0.00029499999999999996,-91.76835632324219,15.043915748596191,0.5006833261702077,192000,1158,208
7,-152.9278314917127,26.056735603368804,-287.27295,-116.18348,88.34806629834254,47.0,207.0,-6.0585224609375,-8.373849,-2.6069138,-0.06692533874511719,-3.7893403,1.5730615,0.06692533940076828,0.19408154487609863,-0.00522473081946373,-0.05276408791542053,0.7238293290138245,0.001321887713856995,80.0,40226,0.9984006881713867,0.000294,-91.95333862304688,15.104615211486816,0.4990199874853069,224000,1369,151
8,-159.5781811242816,36.99977914270834,-510.60358,-125.64688,91.77298850574712,48.0,191.0,-6.07296923828125,-8.210333,-2.5706675,-0.07459788513183593,-4.587766,1.474834,0.07459788769483566,0.2268526554107666,-0.00634273886680603,-0.048765528947114944,0.720490574836731,0.0014411716256290674,80.0,40226,0.99715256690979,0.00029299999999999997,-92.41193389892578,15.81675910949707,0.4973566606824231,256000,1581,150
9,-178.8949893904321,89.07776807617094,-926.2439,-107.2539,98.4104938271605,27.0,275.0,-6.08861328125,-8.237856,-1.9817032,-0.10569567108154297,-5.765823,1.5865178,0.1056956797838211,0.5412090420722961,-0.011856652796268463,-0.1755489557981491,0.7171405553817749,0.0015128138475120068,80.0,40226,0.9971370100975037,0.000292,-93.9156723022461,20.300058364868164,0.4956933234498547,288000,1794,150
10,-185.68229166666666,225.07065420155521,-3856.9243,-109.28306,98.50925925925925,33.0,500.0,-6.01449560546875,-8.23286,4.9494843,0.2593394775390625,-18.6843,3.0326343,-0.25933951139450073,1.8838777542114258,-0.021014809608459473,-1.265801191329956,0.7137795686721802,0.0014296318404376507,80.0,40226,1.0030930042266846,0.00029099999999999997,-95.84770202636719,37.79352951049805,0.49403001303756583,320000,2009,148
11,-192.23939378955697,260.93297796051337,-4621.284,-123.61368,101.1867088607595,46.0,500.0,-5.79980517578125,-7.5083036,1.5832738,0.8869383544921875,-11.211231,4.686138,-0.8869383335113525,2.00294828414917,-0.021014750003814697,-1.5776742696762085,0.7104068398475647,0.0010448897955939174,80.0,40226,1.01056969165802,0.00029,-97.7183837890625,51.36308288574219,0.4923666785278051,352000,2210,159
12,-168.80197514836794,57.06601479436238,-605.1207,-111.81466,94.77448071216617,39.0,278.0,-4.8614521484375,-6.120816,-0.477512,0.97350146484375,-1.5636901,3.5855393,-0.9735013842582703,1.1429710388183594,-0.015528857707977295,-0.9564463496208191,0.707023024559021,0.0010231774067506194,80.0,40226,1.0143311023712158,0.000289,-97.95557403564453,49.76760482788086,0.49070332856195675,384000,2411,159
13,-189.90605914087948,138.19227270194122,-2257.2756,-108.80658,104.0586319218241,36.0,500.0,-3.90359814453125,-5.860103,-0.14880098,0.618482177734375,-3.9025488,2.3136833,-0.6184821724891663,0.557547390460968,-0.009354829788208008,-0.3950730562210083,0.7036275267601013,0.0009507520007900894,80.0,40226,1.010043740272522,0.00028799999999999995,-98.93653106689453,50.77956008911133,0.48904000119877045,416000,2615,157
14,-187.60022713658148,162.63332205943976,-2497.7676,-115.94907,101.84345047923323,44.0,500.0,-3.260359375,-5.535071,0.3536509,0.4398653869628906,-4.2367544,2.9728596,-0.439865380525589,0.39840397238731384,-0.008193105459213257,-0.2727145850658417,0.7002204656600952,0.0010560278315097094,80.0,40226,1.0075008869171143,0.000287,-99.7999496459961,52.347007751464844,0.48737667626760073,448000,2827,150
15,-217.92777890879478,348.66145157959403,-4350.0244,-118.812584,104.19218241042346,46.0,500.0,-2.81598095703125,-5.84518,-0.079237364,0.21830313110351562,-7.298618,3.130515,-0.2183031141757965,0.5246890783309937,-0.01011684536933899,-0.22763356566429138,0.6968018412590027,0.0013401831965893507,80.0,40226,1.0047657489776611,0.00028599999999999996,-102.14273834228516,65.74327850341797,0.4857133342600456,480000,3030,157
16,-175.72755111882717,60.46787102193963,-680.67377,-110.70154,98.62037037037037,31.0,319.0,-2.4740419921875,-4.23394,-0.40337324,0.3383703918457031,-1.2553972,1.0523905,-0.3383704125881195,0.14972086250782013,-0.003528416156768799,-0.1076049953699112,0.6933715343475342,0.0007560461526736617,80.0,40226,1.008213758468628,0.000285,-102.17491912841797,64.00701141357422,0.4840500140318596,512000,3227,162
17,-198.45992983678343,275.68985851708794,-4348.65,-123.256226,101.60509554140127,50.0,500.0,-2.174439453125,-5.783052,-0.73474324,0.16776043701171875,-5.3105617,1.7610915,-0.16776043176651,0.2082606554031372,-0.005297645926475525,-0.09342718124389648,0.6899291276931763,0.0010135973570868373,80.0,40226,1.0033046007156372,0.00028399999999999996,-103.27375030517578,68.87814331054688,0.48238666804773495,544000,3424,162
18,-182.96295839905363,76.82129545465392,-660.8399,-108.10641,100.91167192429022,29.0,303.0,-1.9271910400390626,-4.0073185,-0.4461079,0.1666148681640625,-2.079161,2.0211635,-0.16661487519741058,0.0680142417550087,-0.002274617552757263,-0.033161137253046036,0.6864750981330872,0.0008247357327491045,80.0,40226,1.0045133829116821,0.000283,-103.45654296875,67.3699951171875,0.4807233357871192,576000,3623,161
19,-182.81849449685535,110.53511565313907,-1810.9861,-119.016304,100.35534591194968,43.0,358.0,-1.725338134765625,-4.147235,0.15572429,0.09000149536132812,-2.2599576,0.9029097,-0.09000150114297867,0.05492859333753586,-0.0023387372493743896,-0.026556942611932755,0.6830090284347534,0.0009251689771190286,80.0,40226,1.002334713935852,0.00028199999999999997,-103.64218139648438,66.53962707519531,0.4790599994846701,608000,3821,161
20,-199.6164243584437,218.3495284086764,-3716.524,-112.09847,105.68211920529801,42.0,433.0,-1.6160201416015625,-4.206748,0.3310694,0.015823123931884765,-5.4674788,1.9440157,-0.0158231221139431,0.12948793172836304,-0.0041346475481987,-0.07652111351490021,0.6795309782028198,0.0010714662494137883,80.0,40226,0.9992760419845581,0.00028099999999999995,-104.32450866699219,68.73607635498047,0.4773966704854364,640000,4020,160
21,-195.74849660773026,97.62195476751927,-1025.0946,-104.23615,104.82565789473684,28.0,319.0,-1.5663876953125,-2.9286158,-0.3743283,0.015609519004821777,-1.4578263,0.953354,-0.015609519556164742,0.04000063240528107,-0.0021576862782239914,-0.008284006267786026,0.6760407090187073,0.0009964097989723086,80.0,40226,0.9990805983543396,0.00028,-104.69950866699219,67.68832397460938,0.4757333320358722,672000,4220,160
22,-207.45612399193547,295.11896999619137,-4254.061,-109.04997,102.90322580645162,33.0,500.0,-1.595197021484375,-6.2544446,-0.22330783,-0.028296253204345704,-4.707379,3.8188915,0.028296252712607384,0.15003393590450287,-0.00516229122877121,-0.050259023904800415,0.672538161277771,0.0011770200217142701,80.0,40226,0.9976592659950256,0.00027899999999999995,-105.68514251708984,72.15565490722656,0.4740699962916369,704000,4420,159
23,-205.92856770833333,203.3913796927818,-3174.7273,-107.84484,106.48666666666666,31.0,457.0,-1.567570068359375,-5.8666058,0.5891266,0.006843538284301758,-3.161601,2.7469456,-0.006843539886176586,0.06358665972948074,-0.0031740153208374977,-0.020713727921247482,0.6690234541893005,0.0011590915964916348,80.0,40226,0.9989266395568848,0.000278,-106.33718872070312,72.90518188476562,0.4724066756627696,736000,4620,160
24,-217.15901360544217,217.89197223538514,-2493.3472,-120.13433,108.65646258503402,41.0,500.0,-1.536373046875,-6.1711926,1.4629587,-0.0185229434967041,-3.8537557,2.401076,0.018522944301366806,0.0898929312825203,-0.004782532341778278,-0.03939177095890045,0.6654961705207825,0.0014378383057191968,80.0,40226,0.9973189830780029,0.00027699999999999996,-107.189697265625,74.0576400756836,0.4707433266952096,768000,4820,160
25,-229.03556743421052,285.8503841264922,-3926.951,-110.8891,111.71578947368421,45.0,465.0,-1.534477783203125,-7.014041,2.7016652,-0.030512399673461914,-4.289683,4.551917,0.030512401834130287,0.11149832606315613,-0.00545768067240715,-0.03262479603290558,0.6619567275047302,0.00137156224809587,80.0,40226,0.9965341687202454,0.000276,-108.2336196899414,76.86553955078125,0.46907999085743085,800000,5020,159
26,-234.85898851590105,267.58550035455954,-3086.4407,-110.916664,112.92579505300354,40.0,500.0,-1.55726904296875,-6.5777583,0.4174004,-0.02417332077026367,-2.8776877,4.233969,0.024173321202397346,0.10376421362161636,-0.005422484129667282,-0.03464367985725403,0.6584042906761169,0.0014837327180430293,80.0,40226,0.9976541996002197,0.00027499999999999996,-109.34827423095703,78.88465118408203,0.46741665375073926,832000,5220,160
27,-333.0338837594697,745.1533907576184,-6452.823,-106.62426,120.98106060606061,26.0,500.0,-1.707598876953125,-7.3117633,0.06304237,-0.14711053466796875,-6.312706,5.5378723,0.14711052179336548,0.4953446090221405,-0.012530416250228882,-0.2714437246322632,0.6548393964767456,0.0019002046901732683,80.0,40226,0.993391215801239,0.000274,-112.8812255859375,99.99966430664062,0.4657533293823154,864000,5419,160
28,-238.83991325622776,278.11477699233217,-3180.5032,-116.89114,113.83985765124555,46.0,500.0,-1.5531658935546875,-7.5826974,0.6835745,0.06788304138183594,-2.8941445,6.407747,-0.06788305193185806,0.09221715480089188,-0.0044051483273506165,-0.03326648846268654,0.6512617468833923,0.0011643823236227036,80.0,40226,1.002497673034668,0.00027299999999999997,-113.80457305908203,100.72129821777344,0.46409000434407544,896000,5618,160
29,-284.4792461832061,448.8079546450483,-3921.0369,-108.974396,122.06106870229007,31.0,500.0,-1.60990869140625,-7.9286227,0.5829457,0.014888294219970703,-2.875062,6.580272,-0.014888294041156769,0.1114981546998024,-0.0053763799369335175,-0.03483210504055023,0.6476711630821228,0.0012420640559867024,80.0,40226,0.9992620348930359,0.00027199999999999994,-115.57884979248047,104.78657531738281,0.46242666586954706,928000,5820,158
30,-238.11828349820144,296.76911307415423,-3854.9377,-113.493416,115.10431654676259,43.0,500.0,-1.389660888671875,-7.921484,0.30687013,0.04230848693847656,-2.870934,4.334815,-0.042308490723371506,0.05534888803958893,-0.003389637917280197,-0.01682654581964016,0.6440678238868713,0.0011832357849925756,80.0,40226,1.0012706518173218,0.000271,-116.31077575683594,105.51875305175781,0.46076332929586983,960000,6017,162
31,-231.0216346153846,292.1773457997752,-3800.0608,-114.39183,111.79020979020979,45.0,500.0,-1.297285400390625,-8.034012,0.104740165,0.02491848564147949,-2.4327896,5.126477,-0.024918485432863235,0.06132328510284424,-0.003371870145201683,-0.010589118115603924,0.6404513716697693,0.0010972825111821294,80.0,40226,1.000800371170044,0.00027,-116.90296936035156,106.34493255615234,0.4591000102019319,992000,6215,161
32,-273.8149466192171,524.4353682924277,-5101.962,-114.6981,113.6797153024911,42.0,500.0,-1.38884130859375,-8.444823,0.37749127,-0.027563072204589843,-2.9744473,4.3092403,0.027563074603676796,0.11831220984458923,-0.0057135820388793945,-0.051074810326099396,0.6368216872215271,0.0014945504954084754,80.0,40226,0.9975991249084473,0.000269,-118.55410766601562,112.27893829345703,0.45743666987598686,1024000,6412,162
33,-238.36623142482517,375.1968993564756,-4345.098,-107.4309,111.65734265734265,32.0,500.0,-1.275128173828125,-8.309172,0.16219951,0.012195554733276368,-2.0439754,4.8556566,-0.012195558287203312,0.05984474718570709,-0.0035627027973532677,-0.01859353296458721,0.6331787705421448,0.001311394851654768,80.0,40226,0.9997008442878723,0.00026799999999999995,-119.28705596923828,113.7677993774414,0.45577332497020195,1056000,6609,162
34,-217.16943359375,305.24621209770976,-5054.797,-109.85117,108.0641891891892,37.0,500.0,-1.0656290283203125,-5.159235,-0.10693923,0.005459898948669433,-3.4278526,2.5269597,-0.005459898617118597,0.05955448001623154,-0.0034538558684289455,-0.03676532208919525,0.6295226812362671,0.001217675395309925,80.0,40226,0.9985231757164001,0.000267,-119.54703521728516,114.19429016113281,0.4541099923733702,1088000,6808,161
